452, 266, 50, 495, 0
452, 246, 540, 50, 0
947, 256, 50, 965, 0
-1093, 1221, 2100, 50, 0
-53, -199, 50, 1475, 0
-53, -199, 1465, 50, 0
1412, -199, 50, 1870, 0
-1908, 1641, 3375, 50, 0
-1093, 151, 50, 1090, 0
-1908, 166, 50, 1530, 0
-1908, 166, 330, 50, 0
-1383, 166, 335, 50, 0
-1623, -19, 50, 225, 0
-1623, -19, 270, 50, 0
-1393, -19, 50, 245, 0
-1563, 41, 150, 170, 1
change
602, 1061, 50, 2, 45, (0, 255, 0), 3, 0, 925
727, 1061, 50, 2, 45, (0, 255, 0), 3, 0, 925
847, 1061, 50, 2, 45, (0, 255, 0), 3, 0, 925
162, 1106, 50, 2, 45, (0, 255, 0), 3, 0, 925
297, 996, 50, 2, 45, (0, 255, 0), 3, 0, 925
132, 846, 50, 2, 45, (0, 255, 0), 3, 0, 925
247, 701, 50, 2, 45, (0, 255, 0), 3, 0, 925
117, 561, 50, 2, 45, (0, 255, 0), 3, 0, 925
222, 346, 100, 10, 100, (0, 100, 0), 2, 0, 925
387, 81, 100, 10, 100, (0, 100, 0), 2, 0, 925
112, 81, 20, 1, 30, (144, 238, 144), 5, 0, 925
52, 166, 20, 1, 30, (144, 238, 144), 5, 0, 925
182, 141, 20, 1, 30, (144, 238, 144), 5, 0, 925
227, 6, 20, 1, 30, (144, 238, 144), 5, 0, 925
97, -34, 20, 1, 30, (144, 238, 144), 5, 0, 925
1217, 41, 20, 1, 30, (144, 238, 144), 5, 0, 925
1317, 106, 20, 1, 30, (144, 238, 144), 5, 0, 925
1202, 206, 20, 1, 30, (144, 238, 144), 5, 0, 925
1057, 156, 20, 1, 30, (144, 238, 144), 5, 0, 925
987, 41, 20, 1, 30, (144, 238, 144), 5, 0, 925
-503, 1451, 400, 40, 160, (0, 0, 0), 1, 0, 620
-178, 1426, 20, 1, 30, (144, 238, 144), 5, 0, 620
-83, 1506, 20, 1, 30, (144, 238, 144), 5, 0, 620
-93, 1411, 20, 1, 30, (144, 238, 144), 5, 0, 620
-183, 1521, 20, 1, 30, (144, 238, 144), 5, 0, 620
-113, 1576, 20, 1, 30, (144, 238, 144), 5, 0, 620
-143, 1506, 20, 1, 30, (144, 238, 144), 5, 0, 620
-103, 1461, 400, 40, 160, (0, 0, 0), 1, 0, 650
482, 1481, 50, 2, 45, (0, 255, 0), 3, 0, 650
642, 1381, 50, 2, 45, (0, 255, 0), 3, 0, 650
807, 1511, 50, 2, 45, (0, 255, 0), 3, 0, 650
1202, 816, 100, 10, 100, (0, 100, 0), 2, 0, 650
1217, 1071, 100, 10, 100, (0, 100, 0), 2, 0, 650
1062, 966, 50, 2, 45, (0, 255, 0), 3, 0, 650
1242, 841, 50, 2, 45, (0, 255, 0), 3, 0, 650
1352, 956, 50, 2, 45, (0, 255, 0), 3, 0, 650
1132, 1211, 50, 2, 45, (0, 255, 0), 3, 0, 650
-1593, 1331, 20, 1, 30, (144, 238, 144), 5, 0, 650
-1418, 1186, 20, 1, 30, (144, 238, 144), 5, 0, 650
-1583, 1061, 20, 1, 30, (144, 238, 144), 5, 0, 650
-1588, 1166, 20, 1, 30, (144, 238, 144), 5, 0, 650
-1683, 1306, 20, 1, 30, (144, 238, 144), 5, 0, 650
-1478, 1121, 20, 1, 30, (144, 238, 144), 5, 0, 650
-1328, 971, 20, 1, 30, (144, 238, 144), 5, 0, 650
-1538, 816, 20, 1, 30, (144, 238, 144), 5, 0, 650
-1548, 666, 20, 1, 30, (144, 238, 144), 5, 0, 650
-1353, 611, 20, 1, 30, (144, 238, 144), 5, 0, 650
-1458, 876, 20, 1, 30, (144, 238, 144), 5, 0, 650
-1488, 1321, 20, 1, 30, (144, 238, 144), 5, 0, 650
-1428, 1046, 20, 1, 30, (144, 238, 144), 5, 0, 650
-1428, 1046, 20, 1, 30, (144, 238, 144), 5, 0, 650
-1613, 1286, 400, 40, 160, (0, 0, 0), 1, 0, 650
-1358, 1026, 400, 40, 160, (0, 0, 0), 1, 0, 650
-1613, 726, 400, 40, 160, (0, 0, 0), 1, 0, 650
-1293, 496, 400, 40, 160, (0, 0, 0), 1, 0, 650
-1773, 841, 20, 1, 30, (144, 238, 144), 5, 0, 650
-1773, 431, 20, 1, 30, (144, 238, 144), 5, 0, 650
-1578, 431, 20, 1, 30, (144, 238, 144), 5, 0, 650
-1238, 761, 20, 1, 30, (144, 238, 144), 5, 0, 650
-1133, 871, 20, 1, 30, (144, 238, 144), 5, 0, 650
boss
changey
