1027, 111, 50, 725, 0
457, 111, 570, 50, 0
457, 801, 625, 50, 0
427, -1134, 70, 1305, 0
427, 796, 75, 1195, 0
-5248, 1971, 5765, 80, 0
-4533, -1154, 5035, 70, 0
-4598, -2514, 85, 2855, 0
-5243, 931, 770, 75, 0
-5268, -4994, 80, 7040, 0
-4593, -2519, 2435, 75, 0
-5268, -5009, 3820, 85, 0
-2183, -4249, 70, 1815, 0
-2198, -4269, 710, 70, 0
-1498, -5009, 75, 810, 0
-1988, -4729, 290, 280, 1
-318, -409, 75, 1725, 0
-1213, -1134, 90, 1430, 0
-2063, 1006, 1135, 80, 0
-2808, 456, 70, 1580, 0
-3738, -489, 85, 1515, 0
-2818, -329, 1060, 70, 0
-5243, -3234, 1290, 85, 0
-3408, -4549, 95, 2105, 0
-4618, -3909, 1315, 80, 0
-4643, -4539, 80, 715, 0
-2808, -4989, 100, 1990, 0
change
-48, -654, 50, 2, 45, [0, 255, 0], 3, 0, 1225
97, -814, 100, 10, 100, [0, 100, 0], 2, 0, 1140
157, -594, 50, 2, 45, [0, 255, 0], 3, 0, 1060
137, 1236, 50, 2, 45, [0, 255, 0], 3, 0, 1000
-133, 1586, 20, 1, 30, [144, 238, 144], 5, 0, 1000
227, 1501, 50, 2, 45, [0, 255, 0], 3, 0, 1000
-18, 1426, 20, 1, 30, [144, 238, 144], 5, 0, 1000
92, 1771, 100, 10, 100, [0, 100, 0], 2, 0, 1000
-958, 656, 50, 2, 45, [0, 255, 0], 3, 0, 1000
-1458, 1676, 100, 10, 100, [0, 100, 0], 2, 0, 1000
-1378, 1306, 100, 10, 100, [0, 100, 0], 2, 0, 1000
-1763, 1411, 400, 40, 160, [0, 0, 0], 1, 0, 1000
-853, 406, 20, 1, 30, [144, 238, 144], 5, 0, 1000
-753, 576, 20, 1, 30, [144, 238, 144], 5, 0, 1000
-798, 771, 20, 1, 30, [144, 238, 144], 5, 0, 1000
-1008, 816, 20, 1, 30, [144, 238, 144], 5, 0, 1000
-948, 531, 20, 1, 30, [144, 238, 144], 5, 0, 1000
-1113, 651, 20, 1, 30, [144, 238, 144], 5, 0, 1000
-2273, -704, 50, 2, 45, [0, 255, 0], 3, 0, 1000
-2338, -504, 100, 10, 100, [0, 100, 0], 2, 0, 1000
-3243, -374, 400, 40, 160, [0, 0, 0], 1, 0, 1000
-3373, -49, 400, 40, 160, [0, 0, 0], 1, 0, 1000
-3403, -459, 400, 40, 160, [0, 0, 0], 1, 0, 1000
-3488, 1451, 50, 2, 45, [0, 255, 0], 3, 0, 1000
-3668, 1626, 50, 2, 45, [0, 255, 0], 3, 0, 1000
-3923, 1491, 100, 10, 100, [0, 100, 0], 2, 0, 1000
-4203, -2864, 50, 2, 45, [0, 255, 0], 3, 0, 1000
-3998, -2714, 100, 10, 100, [0, 100, 0], 2, 0, 1000
-3763, -2934, 100, 10, 100, [0, 100, 0], 2, 0, 1000
-4448, -3524, 20, 1, 30, [144, 238, 144], 5, 0, 1000
-4243, -3509, 20, 1, 30, [144, 238, 144], 5, 0, 1000
-4358, -3444, 20, 1, 30, (144, 238, 144), 5, 0, 1000
-4253, -4139, 400, 40, 160, (0, 0, 0), 1, 0, 1000
-3678, -4129, 400, 40, 160, (0, 0, 0), 1, 0, 1000
-3973, -4179, 400, 40, 160, (0, 0, 0), 1, 0, 1000
-4118, -4609, 400, 40, 160, (0, 0, 0), 1, 0, 1000
-3768, -4569, 400, 40, 160, (0, 0, 0), 1, 0, 1000
-3093, -3369, 50, 2, 45, (0, 255, 0), 3, 0, 1000
-2473, -3739, 100, 10, 100, (0, 100, 0), 2, 0, 1000
changey
